Title,DOI,Sample Name,Main Transition Metal Type,Relative Atomic Mass,Atomic Number,Ionization Potential,Electronegativity,Electronic Afiinity,Number of d electrons,Covalent Radius,Second Transition Metal Type,Carbon Material Type,ZIF or MOF Derived,Hard or Soft Templated,Graphene/Carbon Nanosheets or other 2D Structures,Polymer Derived,Carbon Nanofiber/Nanotubes,Carbon Black Derived,Biomass or other Organic Derived,Main Transition Metal Content (wt. %),Second Transition Metal Content (wt. %),Nitrogen Cotent (wt. %),Metal-N Coordination Number (XAS),O Content (wt. %),C Content (wt. %),Pyridinic N Ratio,Pyrrolic N Ratio,Graphitic N Ratio,Oxidized N Ratio,Raman ID/IG Ratio,BET Surface Area (m2/g),Acid Wash,Pyrolysis Temperature (～C),Pyrolysis Time (h),Rising Rate (～C min-1),Product,Electrolyte,Flow Cell/H-type Cell,Electrolyte Concentration (M),Catalyst Loading (mg cm-2),Nafion Membrane,Nafion Membrane Thickness (米m),Electrode Substrate Type,Carbon Paper/Glassy Carbon,Electrode Area cm2,lsv speed (mV/s),Electrolyte pH,FE of Product (CO) at -0.2V (vs.RHE),FE of Product (CO) at -0.3V (vs.RHE),FE of Product (CO) at -0.4V (vs.RHE),FE of Product (CO) at -0.5V (vs.RHE),FE of Product (CO) at -0.6V (vs.RHE),FE of Product (CO) at -0.7V (vs.RHE),FE of Product (CO) at -0.8V (vs.RHE),FE of Product (CO) at -0.9V (vs.RHE),FE of Product (CO) at -1V (vs.RHE),FE of Product (CO) at -1.1V (vs.RHE),FE of Product (CO) at -1.2V (vs.RHE),Partial Current Censity (CO) at -0.2V (vs.RHE),Partial Current Censity (CO) at -0.3V (vs.RHE),Partial Current Censity (CO) at -0.4V (vs.RHE),Partial Current Censity (CO) at -0.5V (vs.RHE),Partial Current Censity (CO) at -0.6V (vs.RHE),Partial Current Censity (CO) at -0.7V (vs.RHE),Partial Current Censity (CO) at -0.8V (vs.RHE),Partial Current Censity (CO) at -0.9V (vs.RHE),Partial Current Censity (CO) at -1.0V (vs.RHE),Partial Current Censity (CO) at -1.1V (vs.RHE),Partial Current Censity (CO) at -1.2V (vs.RHE),Potential for Maximum FE of Product (CO) (vs.RHE),"corresponding overpotential (eV) 灰=E-Eo,COㄛ-0.11 eVㄛFormateㄛ-0.011",Overpotential (V),Maximum FE,Partial Current Density at Maximum FE (mA/cm2),Long-term durability(hㄘ,Long-term durability=FE decrease%/奀潔ㄗhㄘ,TOF Reported (h-1),Tafel Slope
"Atomically Dispersed Iron?Nitrogen Sites on
Hierarchically Mesoporous Carbon Nanotube
and Graphene Nanoribbon Networks for CO2
Reduction",10.1021/acsnano.9b09658,Fe-N/CNT@GNR-2,Fe,55.845,26,7.83,1.83,14.57,6,125,none,carbon nanotube,0,0,0,0,1,0,0,1.75,0,2.8,4.7,,,61,15,15,8,,224,0,900,1,,CO,KHCO3,0,0.1,0.8,nafion 115,127,carbon paper,1,,,6.8,,,75,91.36949,94.59123,97.75713,98.48685,97.40755,,,,,,0.54977,0.89121,2.52654,7.11675,14.67075,23.38077,,,,-0.76,-0.65,0.65,98.73,16.81,,,,
"Atomically Dispersed Iron?Nitrogen Sites on
Hierarchically Mesoporous Carbon Nanotube
and Graphene Nanoribbon Networks for CO2
Reduction",10.1021/acsnano.9b09658,Fe-N/CNT@GNR-3,Fe,55.845,26,7.83,1.83,14.57,6,125,none,carbon nanotube,0,0,0,0,1,0,0,1.8,0,3.61,4.7,,,57,14,20,8,,287,0,900,1,,CO,KHCO3,0,0.1,0.8,nafion 115,127,carbon paper,1,,,6.8,,,65.33,84.24648,90.03244,94.00137,95.34431,92.89232,,,,,,0.27272,0.96409,1.94813,5.63542,12.56157,20.02792,,,,-0.76,-0.65,0.65,96.64,14.64,,,,
"Atomically Dispersed Iron?Nitrogen Sites on
Hierarchically Mesoporous Carbon Nanotube
and Graphene Nanoribbon Networks for CO2
Reduction",10.1021/acsnano.9b09658,Fe-N/GNR,Fe,55.845,26,7.83,1.83,14.57,6,125,none,carbon nanotube,0,0,0,0,1,0,0,1.72,0,4.57,4.7,,,57,12,23,7,,299,0,900,1,,CO,KHCO3,0,0.1,0.8,nafion 115,127,carbon paper,1,,,6.8,,,53.45937,72.09316,85.72518,93.42208,94.77184,92.72683,,,,,,0.27558,0.59146,1.77241,4.8284,10.55086,17.15323,,,,-0.76,-0.65,0.65,95.03,12.13,,,,
"Atomically Dispersed Iron?Nitrogen Sites on
Hierarchically Mesoporous Carbon Nanotube
and Graphene Nanoribbon Networks for CO2
Reduction",10.1021/acsnano.9b09658,Fe-N/CNT@GNR-2,Fe,55.845,26,7.83,1.83,14.57,6,125,none,carbon nanotube,0,0,0,0,1,0,0,1.75,0,2.8,4.7,,,61,15,15,8,,224,0,900,1,,CO,KHCO3,0,0.5,0.8,nafion 115,127,carbon paper,1,,,7.33,,,67.28607,79.96102,87.98945,94.43465,93.23585,85.19042,,,,,,0.40279,1.09401,4.70195,15.11511,28.62101,37.51166,,,,-0.76,-0.65,0.65,95.5,23.49139,,,,
"Atomically Dispersed Iron?Nitrogen Sites on
Hierarchically Mesoporous Carbon Nanotube
and Graphene Nanoribbon Networks for CO2
Reduction",10.1021/acsnano.9b09658,Fe-N/CNT@GNR-2,Fe,55.845,26,7.83,1.83,14.57,6,125,none,carbon nanotube,0,0,0,0,1,0,0,1.75,0,2.8,4.7,,,61,15,15,8,,224,0,900,1,,CO,KHCO3,0,1,0.8,nafion 115,127,carbon paper,1,,,8.8,,,52.29995,73.2614,83.4605,90.22697,83.86154,58.50417,,,,,,0.33909,1.44978,5.89448,20.45634,31.91313,32.49607,,,,-0.76,-0.65,0.65,91.38,28.54721,,,,
"Carbon dioxide electroreduction on single-atom
nickel decorated carbon membranes with industry
compatible current densities",10.1038/s41467-020-14402-0,NiSA/PCFM,Ni,58.693,28,7.61,1.91,111.54,8,121,none,ZIF-derived,1,0,0,0,0,0,0,3.882317736,0,8.665522184,4.1,4.737530121,82.71462996,47.6723306,25.60497416,18.5639422,8.158753039,,741,1,900,2,5,CO,KHCO3,0,0.5,1,nafion 117,177.8,carbon paper,1,1,,7.2,,48.52215,73.30914,82.0937,91.49373,96.10049,93.48937,92.23977,87.31594,77.16987,62.84601,,,6.83935,11.77139,15.54295,28.50164,38.84926,52.38819,57.32023,50.74418,50.74418,-0.7,-0.59,0.59,96.10049,28.50164,,,,117
"Carbon dioxide electroreduction on single-atom
nickel decorated carbon membranes with industry
compatible current densities",10.1038/s41467-020-14402-0,NiSA/CFM,Ni,58.693,28,7.61,1.91,111.54,8,121,none,ZIF-derived,1,0,0,0,0,0,0,4.211922203,0,8.64170245,3.9,2.81636777,84.33000758,55.22198194,24.28444218,10.81287368,9.680702201,,789,1,900,2,5,CO,KHCO3,0,0.5,1,nafion 117,177.8,carbon paper,1,1,,7.2,,28.48916,56.93711,69.07331,78.17545,84.75423,85.23487,83.73287,82.7115,69.76423,,,,0.6518,0.7974,1.92582,3.35454,5.74788,8.76002,10.24335,,,-0.8,-0.69,0.69,85.23487,,,,,156
"Carbon dioxide electroreduction on single-atom
nickel decorated carbon membranes with industry
compatible current densities",10.1038/s41467-020-14402-0,PCFM,none,0,0,0,0,0,0,0,none,ZIF-derived,1,0,0,0,0,0,0,0,0,9.448780248,0,1.924115251,88.6271045,43.00237208,40.32531345,9.437478821,7.234835649,,723,1,900,2,5,CO,KHCO3,0,0.5,1,nafion 117,177.8,carbon paper,1,1,,7.2,,9.1133,15.84228,36.05926,53.24218,57.95848,70.09467,66.88038,57.44779,44.32028,,,,0.44249,0.6518,0.9521,1.71651,2.69023,3.80955,4.27365,,,-0.8,-0.69,0.69,70.09467,,,,,204
"Carbon dioxide electroreduction on single-atom
nickel decorated carbon membranes with industry
compatible current densities",10.1038/s41467-020-14402-0,NiSA/PCFM,Ni,58.693,28,7.61,1.91,111.54,8,121,none,ZIF-derived,1,0,0,0,0,0,0,3.882317736,0,8.665522184,4.1,4.737530121,82.71462996,47.6723306,25.60497416,18.5639422,8.158753039,,741,1,900,2,5,CO,KHCO3,1,0.5,1,nafion 117,177.8,carbon paper,1,1,,7.2,,47.16064,57.30671,64.72975,77.89725,79.78099,82.70918,84.70482,88.26713,84.70482,82.50402,,,59.44778,76.27474,88.16966,113.70022,184.68292,239.4189,307.21028,316.97765,336.02887,-1,-0.89,0.89,88.26713,307.21028,,,,117
"Composition Tailoring via N and S Co-doping and Structure Tuning by
Constructing Hierarchical Pores: Metal-Free Catalysts for High_x005f_x0002_Performance Electrochemical Reduction of CO2",10.1002/anie.201809255,NSHCF1000,none,0,0,0,0,0,0,0,none,ZIF-derived,1,0,0,0,0,0,0,0,0,5,0,,,0,0,100,0,0.96,,1,1000,1,5,CO,KHCO3,0,0.1,0.8,nafion 117,177.8,carbon paper,1,1.5,,6.8,,2.73275,7.28702,10.60167,18.60532,22.08166,16.17997,11.65265,9.84711,8.33801,,0.75644,0.96766,1.3192,1.67243,2.76127,3.50374,4.66115,6.30622,16.33219,38.32803,,-0.7,-0.59,0.59,22.08166,3.50374,,,,192
"Composition Tailoring via N and S Co-doping and Structure Tuning by
Constructing Hierarchical Pores: Metal-Free Catalysts for High_x005f_x0002_Performance Electrochemical Reduction of CO2",10.1002/anie.201809255,NSHCF900,none,0,0,0,0,0,0,0,none,ZIF-derived,1,0,0,0,0,0,0,0,0,9.639920019,0,,,48.75559124,0,51.24440876,0,1.14,465,1,900,1,5,CO,KHCO3,0,0.1,0.8,nafion 117,177.8,carbon paper,1,1.5,,6.8,,30.08531,68.78313,80.10143,85.70668,93.71034,89.02133,88.26678,81.17936,72.25946,,0.72881,1.60569,5.04025,13.81778,28.60318,43.96815,60.0683,79.95624,99.4459,121.95069,,-0.7,-0.59,0.59,93.71034,43.96815,,,,105
"Composition Tailoring via N and S Co-doping and Structure Tuning by
Constructing Hierarchical Pores: Metal-Free Catalysts for High_x005f_x0002_Performance Electrochemical Reduction of CO2",10.1002/anie.201809255,NSHCF800,none,0,0,0,0,0,0,0,none,ZIF-derived,1,0,0,0,0,0,0,0,0,11.07004857,0,,,37.94021294,35.32964783,26.73013923,0,1.05,,1,800,1,5,CO,KHCO3,0,0.1,0.8,nafion 117,177.8,carbon paper,1,1.5,,6.8,,10.60167,18.76701,35.82531,61.66877,67.27402,75.87054,56.97975,47.00887,23.45602,,0.3408,0.3408,1.10246,2.66399,6.80964,13.1676,19.97151,29.67128,46.37274,64.02856,,-0.8,-0.69,0.69,75.87054,19.97151,,,,159
"Composition Tailoring via N and S Co-doping and Structure Tuning by
Constructing Hierarchical Pores: Metal-Free Catalysts for High_x005f_x0002_Performance Electrochemical Reduction of CO2",10.1002/anie.201809255,NSCF900,none,0,0,0,0,0,0,0,none,ZIF-derived,1,0,0,0,0,0,0,0,0,15.3473426,0,,,27.36630119,0,72.63369881,0,0.98,493,1,900,1,5,CO,KHCO3,0,0.1,0.8,nafion 117,177.8,carbon paper,1,1.5,,6.8,,24.96513,44.61047,66.8159,75.87054,88.56321,82.36509,78.75401,66.95064,60.32135,,0.31863,0.73764,0.74805,0.74805,0.74805,1.88218,3.775,8.18133,14.78274,28.7866,,-0.7,-0.59,0.59,88.56321,1.88218,,,,132
"Construction of atomically dispersed Cu-N4 sites via engineered
coordination environment for high-efficient CO2 electroreduction",10.1016/j.cej.2020.126842,Cu-N3-C/800,Cu,63.546,29,7.69,1.9,119.16,10,138,none,ZIF-derived,1,0,0,0,0,0,0,2.44,0,19.50980251,3,7.951643849,59.04009002,80.88,10.72,4.8,3.6,1.42,802.7,0,800,3,5,CO,KHCO3,0,0.1,1.5,nafion 115,127,carbon paper,1,1.25,5,6.8,,,3.29741,7.21156,18.25614,21.50277,20.47113,20.98695,,,,,,0.04,0.05,0.06,0.07,0.12,0.13,0.205,0.463,,-0.7,-0.59,0.59,21.50277,0.07,,,31.88,458
"Construction of atomically dispersed Cu-N4 sites via engineered
coordination environment for high-efficient CO2 electroreduction",10.1016/j.cej.2020.126842,Cu-N3.3-C/900,Cu,63.546,29,7.69,1.9,119.16,10,138,none,ZIF-derived,1,0,0,0,0,0,0,2.26,0,13.48351981,3.3,6.24130632,71.33051104,62.29,15.31,12.46,9.94,1.31,1031.3,0,900,3,5,CO,KHCO3,0,0.1,1.5,nafion 115,127,carbon paper,1,1.25,5,6.8,,,41.74106,53.30147,49.75142,38.52478,27.44985,22.50406,18.95402,15.19158,,,,0.14538,0.38565,0.74251,0.88031,1.07817,1.23717,1.37497,1.37497,,-0.5,-0.39,0.39,53.30147,0.38565,,,100.17,172
"Construction of atomically dispersed Cu-N4 sites via engineered
coordination environment for high-efficient CO2 electroreduction",10.1016/j.cej.2020.126842,Cu-N3.8-C/1000,Cu,63.546,29,7.69,1.9,119.16,10,138,none,ZIF-derived,1,0,0,0,0,0,0,2.18,0,6.802001155,3.8,3.450708742,87.11756783,42.35,19.95,25.2,12.5,1.15,1178.8,0,1000,3,5,CO,KHCO3,0,0.1,1.5,nafion 115,127,carbon paper,1,1.25,5,6.8,,,30.51442,69.29184,88.34679,93.62635,93.29258,94.80969,92.62505,89.89425,,,,0.22665,0.68244,1.51277,2.76003,3.98962,5.61495,7.09894,7.97167,,-0.9,-0.79,0.79,94.80969,5.61495,,,1170.87,120
"Construction of atomically dispersed Cu-N4 sites via engineered
coordination environment for high-efficient CO2 electroreduction",10.1016/j.cej.2020.126842,Cu-N4-C/1100,Cu,63.546,29,7.69,1.9,119.16,10,138,none,ZIF-derived,1,0,0,0,0,0,0,1.98,0,4.813460132,4,3.212224661,90.7485979,37.42,16.83,31.77,13.98,1.1,1347.1,0,1100,3,5,CO,KHCO3,0,0.1,1.5,nafion 115,127,carbon paper,1,1.25,5,6.8,,,47.02062,80.51848,91.77547,96.35715,98.05632,99.08795,97.5405,97.38879,,,,0.2295,0.85442,1.80629,3.27133,4.84812,7.02914,8.79216,10.43931,,-0.9,-0.79,0.79,99.08795,7.02914,,,1471.32,113
"Construction of atomically dispersed Cu-N4 sites via engineered
coordination environment for high-efficient CO2 electroreduction",10.1016/j.cej.2020.126842,N-C/1100,none,0,0,0,0,0,0,0,none,ZIF-derived,1,0,0,0,0,0,0,0,0,4.509597686,0,2.997633447,92.49276887,31.59,16.87,34.82,16.72,1.18,1489.4,0,1100,3,5,CO,KHCO3,0,0.1,1.5,nafion 115,127,carbon paper,1,1.25,5,6.8,,,4.38001,17.15188,39.8963,66.17486,69.32409,72.26337,69.91894,62.64073,,,,0.06809,0.15914,0.46126,1.15653,1.74007,2.31947,2.98991,3.36238,,-0.9,-0.79,0.79,72.26337,2.31947,,,,191
"Isolated FeN4 Sites for Efficient Electrocatalytic CO2
Reduction",10.1002/advs.202001545,FeN4/C,Fe,55.845,26,7.83,1.83,14.57,6,125,none,C3N4 derived,0,0,0,0,0,0,1,1.2,0,,4.7,,,17.88255664,14.97286683,48.45330349,18.69127304,1.38,,0,1000,1,5,CO,KHCO3,0,0.1,0.2,not mentioned,177.8,glassy carbon,0,0.19625,20,6.8,,,70.73278,92.29772,93.55864,77.06971,39.53314,1.99657,,,,,,0.29078,0.58166,1.24282,2.03606,2.4378,2.38434,,,,-0.6,-0.49,0.49,93.55864,1.24282,,,,
"Low-temperature strategy toward Ni-NC@Ni core-shell nanostructure with 
Single-Ni sites for efficient CO2 electroreduction",10.1016/j.nanoen.2020.105010,450,Ni,58.693,28,7.61,1.91,111.54,8,121,none,ZIF-derived,1,0,0,0,0,0,0,13.18585375,0,10.65163902,4,6.485775515,46.52750218,58.69083197,0,26.86782994,14.44133809,,,1,450,2,5,CO,KHCO3,0,0.5,1,nafion 115,127,carbon paper,1,1,50,7.2,,,,8.90755,33.68706,58.46657,74.25686,80.70423,64.78974,63.35993,,,,,,1.27767,4.32038,10.52303,16.68571,18.74293,22.52236,,-0.88,-0.77,0.77,84.48,16.51707,,,,
"Low-temperature strategy toward Ni-NC@Ni core-shell nanostructure with 
Single-Ni sites for efficient CO2 electroreduction",10.1016/j.nanoen.2020.105010,500,Ni,58.693,28,7.61,1.91,111.54,8,121,none,ZIF-derived,1,0,0,0,0,0,0,14.11403542,0,11.96760386,4,4.682215816,55.30305866,60.54522193,0,28.74717055,10.70760752,,,1,500,2,5,CO,KHCO3,0,0.5,1,nafion 115,127,carbon paper,1,1,50,7.2,,,,31.65582,54.43291,77.21,85.5316,81.84708,83.44566,69.09194,,,,,,2.30896,7.33817,14.2005,20.54082,27.23197,28.669,,-0.78,-0.67,0.67,86.96,11.98,,,,
"Low-temperature strategy toward Ni-NC@Ni core-shell nanostructure with 
Single-Ni sites for efficient CO2 electroreduction",10.1016/j.nanoen.2020.105010,550,Ni,58.693,28,7.61,1.91,111.54,8,121,none,ZIF-derived,1,0,0,0,0,0,0,15.71282183,0,11.99692584,4,3.238119636,58.7626489,60.57305984,0,26.62296469,12.80397547,,,1,550,2,5,CO,KHCO3,0,0.5,1,nafion 115,127,carbon paper,1,1,50,7.2,,,,35.46063,58.83985,82.21907,86.61253,84.45652,80.10292,71.11241,,,,,,2.96542,8.83562,15.78073,20.06284,24.24084,27.96905,,-0.78,-0.67,0.67,87.07,13.09,,,,133
"Low-temperature strategy toward Ni-NC@Ni core-shell nanostructure with 
Single-Ni sites for efficient CO2 electroreduction",10.1016/j.nanoen.2020.105010,600,Ni,58.693,28,7.61,1.91,111.54,8,121,none,ZIF-derived,1,0,0,0,0,0,0,11.19895523,0,9.623378082,4,3.089366961,70.14267258,51.21343545,0,35.90477069,12.88179385,,,1,600,2,5,CO,KHCO3,0,0.5,1,nafion 115,127,carbon paper,1,1,50,7.2,,,,22.28238,51.60673,80.93108,83.55665,76.49205,73.58727,64.66121,,,,,,1.60693,5.98954,13.10245,18.41377,23.68411,26.30298,,-0.78,-0.67,0.67,85.44,14.9,,,,
"Rational Fabrication of Low-Coordinate Single-Atom Ni
Electrocatalysts by MOFs for Highly Selective CO2 Reduction",10.1002/anie.202016219,Ni-N3,Ni,58.693,28,7.61,1.91,111.54,8,121,none,ZIF-derived,1,0,0,0,0,0,0,0.85,0,,3,,,43.18047045,22.29689662,21.308559,13.21407393,0.97,821,0,700,1,5,CO,KHCO3,0,0.5,0.6,not mentioned,177.8,carbon paper,1,1,5,7.2,,7.40006,33.64422,79.60077,93.50713,94.95863,93.90512,90.22953,75.92518,,,,0.07313,0.07313,0.93357,4.26212,9.1123,13.70888,17.36349,,,,-0.7,-0.59,0.59,94.95863,9.1123,,,1977,99
"Rational Fabrication of Low-Coordinate Single-Atom Ni
Electrocatalysts by MOFs for Highly Selective CO2 Reduction",10.1002/anie.202016219,Ni-N4,Ni,58.693,28,7.61,1.91,111.54,8,121,none,ZIF-derived,1,0,0,0,0,0,0,1.06,0,,4,,,52.66798734,18.48486094,22.24011476,6.607036964,1.03,900,0,800,1,5,CO,KHCO3,0,0.5,0.6,not mentioned,177.8,carbon paper,1,1,5,7.2,,10.02214,31.27967,72.62418,83.27635,85.50044,84.96197,84.1894,76.44023,,,,0.09577,0.09577,1.03773,3.50131,6.21397,8.57792,9.28892,,,,-0.7,-0.59,0.59,85.50044,6.21397,,,963,154
"Rational Fabrication of Low-Coordinate Single-Atom Ni
Electrocatalysts by MOFs for Highly Selective CO2 Reduction",10.1002/anie.202016219,Zn-N3,Zn,65.38,30,9.35,1.65,,10,131,none,ZIF-derived,1,0,0,0,0,0,0,6.64,0,,3,,,62.15550423,14.67282525,23.17167052,0,0.99,988,0,900,2,5,CO,KHCO3,0,0.5,0.6,not mentioned,177.8,carbon paper,1,1,5,7.2,,9.48368,64.10243,73.42016,75.52719,66.20946,46.89507,8.82816,,,,,0.07313,0.17276,0.14558,0.37655,0.60298,0.78412,0.24974,,,,-0.6,-0.49,0.49,75.52719,0.37655,,,,231
"Simultaneous diffusion of cation and anion to access N, S co_x005f_x0002_coordinated Bi-sites for enhanced CO2 electroreduction",10.1007/s12274-021-3287-1,Bi-SAs-NS/C,Bi,208.98,83,7.25,2.02,90.92,10,146,none,carbon nanotube,0,0,0,0,1,0,0,1.52,0,,3.8,,,31.58645034,7.446880728,56.64245469,4.324214242,1.05,337.01,0,900,1,5,CO,KHCO3,0,0.5,0.4,nafion 117,177.8,carbon paper,1,1,5,7.2,,,73.9981,87.42365,94.0432,95.62816,97.86575,93.35949,79.40561,63.36953,45.5931,,,0.34892,0.74664,2.11196,5.10972,10.23263,15.49208,18.51952,19.48712,17.72407,-0.8,-0.69,0.69,97.86575,10.23263,,,,207
"Universal domino reaction strategy for mass production of single-atom 
metal-nitrogen catalysts for boosting CO2 electroreduction",10.1016/j.nanoen.2020.105689,Ni-SA/NC,Ni,58.693,28,7.61,1.91,111.54,8,121,none,Nacl Templated PANI derived amophous carbon,0,1,0,1,0,0,0,1.09,0,2.23,3.7,12.47,84.06,48.04671,26.34905,24.73837,0,1.031,1414.1,1,1000,1,2,CO,KHCO3,0,0.5,0.6,nafion 117,177.8,carbon paper,1,1,5,7.4,,,61.59884,81.02652,93.82874,95.4512,92.42417,88.65078,,,,1.24863,2.42063,3.73963,5.90433,12.81183,31.81095,56.33556,75.85244,,,,-0.66,-0.55,0.55,96.24,22.50965,,,,136
"Universal domino reaction strategy for mass production of single-atom 
metal-nitrogen catalysts for boosting CO2 electroreduction",10.1016/j.nanoen.2020.105689,Ni/C-1:1,Ni,58.693,28,7.61,1.91,111.54,8,121,none,Nacl Templated PANI derived amophous carbon,0,1,0,1,0,0,0,1.05,0,1.42,3.6,15.97,81.5,58.2677,16.21837,17.48282,6.3436,1.041,1421.2,1,1000,1,2,CO,KHCO3,0,0.5,0.6,nafion 117,177.8,carbon paper,1,1,5,7.4,,,37.49855,62.54772,81.36975,82.56977,78.61287,72.53794,,,,1.54357,2.84111,5.54669,5.54669,8.51589,14.03092,29.53763,45.3947,,,,-0.66,-0.55,0.55,83,10.99154,,,,190
"Universal domino reaction strategy for mass production of single-atom 
metal-nitrogen catalysts for boosting CO2 electroreduction",10.1016/j.nanoen.2020.105689,Ni-SA/NC,Ni,58.693,28,7.61,1.91,111.54,8,121,none,Nacl Templated PANI derived amophous carbon,0,1,0,1,0,0,0,1.09,0,2.23,3.7,12.47,84.06,48.04671,26.34905,24.73837,0,1.031,1414.1,1,1000,1,2,CO,KHCO3,1,0.5,0.6,nafion 117,177.8,carbon paper,1,1.5,5,7.4,,,85.11688,93.6556,97.28601,94.54517,89.0631,84.86803,,,,3.70342,20.09518,64.81376,121.3701,189.92476,268.08902,353.72046,486.17028,,,,-0.56,-0.45,0.45,97.62,165.253,,,,136
"Universal domino reaction strategy for mass production of single-atom 
metal-nitrogen catalysts for boosting CO2 electroreduction",10.1016/j.nanoen.2020.105689,Ni/C-1:1,Ni,58.693,28,7.61,1.91,111.54,8,121,none,Nacl Templated PANI derived amophous carbon,0,1,0,1,0,0,0,1.05,0,1.42,3.6,15.97,81.5,58.2677,16.21837,17.48282,6.3436,1.041,1421.2,1,1000,1,2,CO,KHCO3,1,0.5,0.6,nafion 117,177.8,carbon paper,1,1.5,5,7.4,,,58.33222,69.27582,77.6548,73.52233,69.1949,63.14006,,,,6.1708,6.95972,24.00138,49.21277,84.06291,128.72948,186.91459,251.77638,,,,-0.56,-0.45,0.45,79.66,71.25318,,,,190
"(N, B) Dual Heteroatom-Doped Hierarchical Porous Carbon
Framework for Efficient Electroreduction of Carbon Dioxide",10.1021/acssuschemeng.0c00739,NBPC,none,0,0,0,0,0,0,0,none,Nacl Templated derived amophous carbon,0,1,0,0,0,0,1,0,0,10.2,0,,,61.88990826,21.5733945,16.53669725,0,0.57,466.25,1,900,3,5,CO,KHCO3,0,0.5,0.936,nafion 117,177.8,glassy carbon,0,1,20,7.2,,10.04191,82.72407,67.04064,50.0405,40.38466,28.62209,16.85952,,,,,0.0187,0.21909,0.43486,1.11423,1.16126,1.1929,,,,,-0.4,-0.29,0.29,82.72407,0.21909,20,0.2895,,64
Highly Selective and Stable Reduction of CO2 to CO by a Graphitic Carbon Nitride/Carbon Nanotube Composite Electrocatalyst,10.1002/chem.201601674,g-C3N4/MWCNTs,none,0,0,0,0,0,0,0,none,C3N4/carbon nanotube,0,0,0,0,1,0,1,0,0,,0,,,58.03723599,31.00554441,10.9572196,0,,123.4,1,550,4,3,CO,KHCO3,0,0.1,0.5,not mentioned,177.8,carbon paper,1,,,6.8,,,,44.1268,49.35069,55.088,56.55128,50.36274,,,,,,,0.12344,0.19968,0.39456,0.60881,0.84572,,,,-0.75,-0.64,0.64,60.05,0.53758,,,,
"1D/2D nitrogen-doped carbon nanorod arrays/
ultrathin carbon nanosheets: outstanding catalysts
for the highly efficient electroreduction of CO2 to
CO",10.1039/c9ta02353d,NR/CS -800,none,0,0,0,0,0,0,0,none,carbon nanorod,0,0,0,0,1,0,0,0,0,5.79,0,,,22.62521589,27.63385147,37.30569948,12.43523316,1.04,741.93,1,800,2,5,CO,KHCO3,0,0.5,2.5,nafion 117,177.8,carbon paper,1,1,1,7.65,,,64.06629,80.59299,72.53881,57.94186,43.04631,28.40287,,,,,,0.600217851,1.702970175,2.617454151,3.271745067,3.557282489,3.165690161,,,,-0.55,-0.44,0.44,81.33,2.160212163,,,,63
"1D/2D nitrogen-doped carbon nanorod arrays/
ultrathin carbon nanosheets: outstanding catalysts
for the highly efficient electroreduction of CO2 to
CO",10.1039/c9ta02353d,NR/CS -900,none,0,0,0,0,0,0,0,none,carbon nanorod,0,0,0,0,1,0,0,0,0,5.3,0,,,28.11320755,16.60377358,39.05660377,16.22641509,1.17,859.97,1,900,2,5,CO,KHCO3,0,0.5,2.5,nafion 117,177.8,carbon paper,1,1,1,7.65,,,79.4666,92.92608,85.24402,70.55827,53.47305,38.74393,,,,,,0.948036538,2.537764782,4.234616035,4.887747759,5.185030335,5.121261778,,,,-0.45,-0.34,0.34,93.78,1.74290066,,,,65
"1D/2D nitrogen-doped carbon nanorod arrays/
ultrathin carbon nanosheets: outstanding catalysts
for the highly efficient electroreduction of CO2 to
CO",10.1039/c9ta02353d,NR/CS -1000,none,0,0,0,0,0,0,0,none,carbon nanorod,0,0,0,0,1,0,0,0,0,3.28,0,,,15.85365854,21.95121951,33.84146341,28.35365854,1.07,743.45,1,1000,2,5,CO,KHCO3,0,0.5,2.5,nafion 117,177.8,carbon paper,1,1,1,7.65,,,75.35738,85.92037,80.22415,62.28555,43.44517,31.02473,,,,,,0.560756872,1.901632589,3.086993202,3.441762465,3.305278122,3.233242237,,,,-0.55,-0.44,0.44,86.66,2.494312896,,,,67
A Bifunctional Highly Efficient FeNx/C Electrocatalyst,10.1002/smll.201702827,Fe-N-BCNT#BP,Fe,55.845,26,7.83,1.83,14.57,6,125,none,carbon nanotube,0,0,0,0,1,0,0,1.6,0,4.6,4,,,49.8,26.7,23.5,0,1.43,1025.69,1,900,1,5,CO,Na2SO4,0,0.1,0.398,nafion 212,50,carbon paper,1,1,5,6.8,,,51.43911,79.37686,85.55703,79.26398,68.85082,58.57876,50.81827,,,,,0.352810568,0.870772092,2.045121022,4.069182868,6.22936056,7.183308313,7.839165348,,,-0.6,-0.49,0.49,85.55703,2.045121022,,,,220
"A metal-free electrocatalyst for carbon dioxide
reduction to multi-carbon hydrocarbons and
oxygenates",10.1038/ncomms13869,NGDQs,none,0,0,0,0,0,0,0,none,graphene quantum dots,0,0,1,0,0,0,0,0,0,6,0,,,65,20,15,0,,,0,200,10,,CO,KOH,0,1,,nafion 117,177.8,carbon paper,1,1,,13.8,,5.19292,14.05934,24.92498,39.83934,29.33752,13.37394,11.24711,8.64853,,,,0.78998,1.59672,5.64458,15.65461,19.44643,20.46622,22.56484,20.06876,,,-0.61,-0.5,0.5,41.37,16.52504,,,,198
